Meter No,Score,Band,Recency,Vends_60d,Failure_Rate,Median_Spend,Decision_A_Conservative,Amount_A_Conservative,Reason_A_Conservative,Decision_B_Moderate,Amount_B_Moderate,Reason_B_Moderate,Decision_C_Aggressive,Amount_C_Aggressive,Reason_C_Aggressive
49,45.9,D,14,4,0.02,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
50,49.7,D,26,7,0.13,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
51,42.4,D,5,10,0.07,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
52,44.0,D,0,12,0.02,1812.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
53,48.2,D,4,9,0.03,1937.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
54,40.7,D,3,12,0.03,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
55,75.3,B,1,7,0.02,180000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
56,45.0,D,2,6,0.24,3000.0,REJECTED,0.0,High Failure Rate (24%),REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
57,49.4,D,3,9,0.05,2250.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
58,46.0,D,5,11,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
59,39.3,D,0,9,0.11,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
60,48.0,D,108,0,0.08,2000.0,REJECTED,0.0,< 6 vends; > 30 days dormant,REJECTED,0.0,< 4 vends; > 45 days dormant,REJECTED,0.0,< 3 vends; > 60 days dormant
61,44.6,D,12,9,0.07,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
62,50.3,C,0,15,0.06,2000.0,REJECTED,0.0,Below Min Loan Size,REJECTED,0.0,Below Min Loan Size,REJECTED,0.0,Below Min Loan Size
63,40.9,D,7,8,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
64,45.7,D,4,11,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
65,30.8,D,0,2,0.17,1500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
66,43.6,D,10,5,0.13,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
67,66.8,B,3,5,0.03,49500.0,REJECTED,0.0,< 6 vends,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
68,44.1,D,1,6,0.11,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
69,40.8,D,2,11,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
70,45.4,D,3,9,0.02,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
71,45.1,D,6,7,0.1,2264.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
72,49.0,D,3,7,0.1,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
73,29.8,D,1,3,0.15,1250.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
74,44.0,D,3,8,0.03,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
75,30.5,D,13,3,0.08,1375.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
76,45.6,D,0,11,0.02,2250.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
77,46.1,D,2,9,0.03,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
78,64.8,C,32,5,0.17,44000.0,REJECTED,0.0,< 6 vends; > 30 days dormant,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
79,62.2,C,1,3,0.08,48000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,APPROVED,20000.0,Eligible
80,66.4,B,3,7,0.13,50000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
81,43.2,D,1,12,0.07,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
82,72.6,B,14,8,0.07,50000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
83,39.8,D,0,7,0.19,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
84,44.3,D,13,6,0.06,2345.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
85,33.5,D,13,3,0.29,2080.0,REJECTED,0.0,< 6 vends; High Failure Rate (29%),REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
86,46.8,D,0,10,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
87,43.0,D,5,6,0.0,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
88,40.2,D,19,3,0.05,1625.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
89,44.1,D,2,15,0.11,1875.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
90,44.8,D,1,8,0.06,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
91,37.8,D,4,8,0.0,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
92,44.4,D,5,4,0.06,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
93,42.9,D,2,12,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
94,42.2,D,0,9,0.08,1638.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
95,68.2,B,2,6,0.05,180000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
96,31.8,D,4,2,0.07,1500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
97,65.6,B,1,6,0.12,50000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
98,41.4,D,5,7,0.0,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
99,50.0,C,1,7,0.03,3000.0,REJECTED,0.0,Below Min Loan Size,REJECTED,0.0,Below Min Loan Size,APPROVED,2250.0,Eligible
100,43.6,D,0,13,0.04,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
101,48.4,D,3,12,0.07,2750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
102,42.3,D,0,8,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
103,70.0,B,2,5,0.11,68000.0,REJECTED,0.0,< 6 vends,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
104,46.9,D,3,15,0.03,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
105,41.6,D,1,6,0.03,1625.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
106,42.1,D,33,1,0.18,2000.0,REJECTED,0.0,< 6 vends; > 30 days dormant,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
107,67.7,B,0,6,0.03,40000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
108,35.5,D,13,3,0.16,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
109,66.3,B,41,2,0.15,81000.0,REJECTED,0.0,< 6 vends; > 30 days dormant,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
110,35.6,D,3,8,0.1,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
111,44.1,D,2,6,0.09,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
112,39.1,D,2,6,0.08,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
113,40.0,D,2,10,0.0,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
114,63.3,C,3,2,0.23,62000.0,REJECTED,0.0,< 6 vends; High Failure Rate (23%),REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
115,47.4,D,5,10,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
116,33.0,D,0,6,0.11,1042.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
117,36.3,D,5,7,0.13,1530.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
118,41.1,D,3,6,0.07,1706.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
119,37.7,D,21,5,0.03,1507.5,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
120,43.4,D,2,13,0.07,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
121,47.4,D,2,7,0.03,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
122,34.4,D,18,3,0.1,1292.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
123,44.9,D,3,6,0.13,2500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
124,45.6,D,2,10,0.02,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
125,38.8,D,1,4,0.21,1929.0,REJECTED,0.0,< 6 vends; High Failure Rate (21%),REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
126,39.7,D,2,3,0.25,2250.0,REJECTED,0.0,< 6 vends; High Failure Rate (25%),REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
127,42.9,D,2,8,0.11,2345.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
128,32.5,D,5,5,0.2,1500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
129,68.1,B,22,3,0.05,180000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,APPROVED,20000.0,Eligible
130,42.9,D,5,4,0.05,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
131,43.7,D,8,6,0.08,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
132,39.9,D,0,5,0.11,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
133,66.6,B,1,5,0.05,69000.0,REJECTED,0.0,< 6 vends,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
134,44.9,D,3,10,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
135,47.3,D,6,6,0.07,2345.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
136,47.2,D,6,14,0.06,1760.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
137,44.6,D,0,9,0.11,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
138,73.2,B,13,5,0.06,53000.0,REJECTED,0.0,< 6 vends,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
139,39.2,D,4,8,0.11,1879.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
140,46.4,D,0,2,0.09,3375.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
141,39.0,D,35,2,0.0,2000.0,REJECTED,0.0,< 6 vends; > 30 days dormant,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
142,31.1,D,0,1,0.0,1625.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
143,35.9,D,20,5,0.0,1625.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
144,45.8,D,5,10,0.09,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
145,45.7,D,0,11,0.0,1601.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
146,44.7,D,4,8,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
147,62.0,C,64,0,0.11,160000.0,REJECTED,0.0,< 6 vends; > 30 days dormant,REJECTED,0.0,< 4 vends; > 45 days dormant,REJECTED,0.0,< 3 vends; > 60 days dormant
148,42.8,D,0,10,0.02,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
149,44.8,D,2,12,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
150,61.3,C,3,1,0.0,149548.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
151,28.9,D,3,2,0.07,1000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
152,33.7,D,2,3,0.0,1500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
153,29.9,D,2,2,0.0,1125.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
154,45.7,D,0,12,0.02,1956.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
155,43.6,D,0,9,0.05,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
156,71.0,B,2,8,0.05,74000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
157,63.7,C,8,6,0.17,50000.0,APPROVED,5000.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
158,46.3,D,6,11,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
159,43.9,D,0,8,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
160,44.7,D,7,12,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
161,44.7,D,5,10,0.09,2051.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
162,44.7,D,4,4,0.22,2875.0,REJECTED,0.0,< 6 vends; High Failure Rate (22%),REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
163,46.6,D,5,7,0.02,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
164,35.3,D,5,2,0.25,1250.0,REJECTED,0.0,< 6 vends; High Failure Rate (25%),REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
165,74.6,B,3,12,0.04,50000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
166,42.1,D,3,6,0.06,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
167,35.7,D,13,5,0.12,1750.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
168,42.9,D,0,12,0.06,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
169,43.8,D,5,9,0.0,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
170,43.2,D,0,9,0.03,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
171,72.1,B,1,11,0.05,150000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
172,46.8,D,10,5,0.12,2242.5,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
173,70.2,B,0,9,0.02,40000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
174,37.4,D,33,2,0.27,2000.0,REJECTED,0.0,< 6 vends; > 30 days dormant; High Failure Rate (27%),REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
175,44.7,D,3,9,0.02,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
176,48.2,D,2,7,0.11,1869.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
177,41.3,D,3,9,0.08,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
178,36.3,D,2,5,0.12,1500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
179,44.2,D,4,8,0.02,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
180,48.3,D,1,9,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
181,36.8,D,2,2,0.13,1875.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
182,43.0,D,1,12,0.04,1574.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
183,38.9,D,3,6,0.0,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
184,43.9,D,3,8,0.06,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
185,41.7,D,2,8,0.07,1590.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
186,35.0,D,1,4,0.04,1500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
187,45.3,D,0,15,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
188,66.2,B,3,2,0.04,47000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
189,41.0,D,10,7,0.12,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
190,40.5,D,2,6,0.17,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
191,48.5,D,4,2,0.13,1857.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
192,73.0,B,3,6,0.05,174726.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
193,40.0,D,1,3,0.06,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
194,67.5,B,97,0,0.17,120685.0,REJECTED,0.0,< 6 vends; > 30 days dormant,REJECTED,0.0,< 4 vends; > 45 days dormant,REJECTED,0.0,< 3 vends; > 60 days dormant
195,30.8,D,0,2,0.08,1375.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
196,72.3,B,3,9,0.05,61000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
197,70.9,B,0,7,0.05,64000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
